assembly	EHEC
GCF_003966425.1_ASM396642v1_genomic	1
GCF_012556305.1_ASM1255630v1_genomic	1
GCF_003966445.1_ASM396644v1_genomic	1
GCF_005380505.1_ASM538050v1_genomic	1
GCF_005380525.1_ASM538052v1_genomic	1
GCF_005380545.1_ASM538054v1_genomic	1
GCF_005380565.1_ASM538056v1_genomic	1
GCF_005380585.1_ASM538058v1_genomic	1
GCF_005380605.1_ASM538060v1_genomic	1
GCF_005380625.1_ASM538062v1_genomic	1
GCF_005380645.1_ASM538064v1_genomic	1
GCF_005380665.1_ASM538066v1_genomic	1
GCF_005380685.1_ASM538068v1_genomic	1
GCF_005380705.1_ASM538070v1_genomic	1
GCF_005380745.1_ASM538074v1_genomic	1
GCF_005380765.1_ASM538076v1_genomic	1
GCF_005380785.1_ASM538078v1_genomic	1
GCF_005380805.1_ASM538080v1_genomic	1
GCF_005380845.1_ASM538084v1_genomic	1
GCF_005380865.1_ASM538086v1_genomic	1
GCF_005380885.1_ASM538088v1_genomic	1
GCF_005380905.1_ASM538090v1_genomic	1
GCF_005380925.1_ASM538092v1_genomic	1
GCF_005380945.1_ASM538094v1_genomic	1
GCF_005380965.1_ASM538096v1_genomic	1
GCF_005380985.1_ASM538098v1_genomic	1
GCF_005381005.1_ASM538100v1_genomic	1
GCF_005381125.1_ASM538112v1_genomic	1
GCF_005381145.1_ASM538114v1_genomic	1
GCF_005381165.1_ASM538116v1_genomic	1
GCF_005381185.1_ASM538118v1_genomic	1
GCF_005381205.1_ASM538120v1_genomic	1
GCF_005381225.1_ASM538122v1_genomic	1
GCF_005381265.1_ASM538126v1_genomic	1
GCF_005381285.1_ASM538128v1_genomic	1
GCF_005381025.1_ASM538102v1_genomic	1
GCF_005381045.1_ASM538104v1_genomic	1
GCF_005381065.1_ASM538106v1_genomic	1
GCF_005381085.1_ASM538108v1_genomic	1
GCF_005381105.1_ASM538110v1_genomic	1
GCF_005381245.1_ASM538124v1_genomic	1
GCF_005381305.1_ASM538130v1_genomic	1
GCF_005381325.1_ASM538132v1_genomic	1
GCF_005381345.1_ASM538134v1_genomic	1
GCF_005381365.1_ASM538136v1_genomic	1
GCF_008633525.1_ASM863352v1_genomic	1
GCF_008633545.1_ASM863354v1_genomic	1
GCF_008633565.1_ASM863356v1_genomic	1
GCF_008633585.1_ASM863358v1_genomic	1
GCF_008633605.1_ASM863360v1_genomic	1
GCF_008633505.1_ASM863350v1_genomic	1
GCF_008634465.1_ASM863446v1_genomic	1
GCF_008633845.1_ASM863384v1_genomic	1
GCF_008633885.1_ASM863388v1_genomic	1
GCF_008634145.1_ASM863414v1_genomic	1
GCF_008634165.1_ASM863416v1_genomic	1
GCF_008634185.1_ASM863418v1_genomic	1
GCF_008634205.1_ASM863420v1_genomic	1
GCF_008634225.1_ASM863422v1_genomic	1
GCF_008634245.1_ASM863424v1_genomic	1
GCF_008634265.1_ASM863426v1_genomic	1
GCF_008634285.1_ASM863428v1_genomic	1
GCF_008634305.1_ASM863430v1_genomic	1
GCF_008634485.1_ASM863448v1_genomic	1
GCF_008634505.1_ASM863450v1_genomic	1
GCF_008634525.1_ASM863452v1_genomic	1
GCF_008634575.1_ASM863457v1_genomic	1
GCF_008634665.1_ASM863466v1_genomic	1
GCF_008633985.1_ASM863398v1_genomic	1
GCF_008634065.1_ASM863406v1_genomic	1
GCF_008634095.1_ASM863409v1_genomic	1
GCF_008634325.1_ASM863432v1_genomic	1
GCF_002734665.1_ASM273466v1_genomic	1
GCF_002734685.1_ASM273468v1_genomic	1
GCF_002734705.1_ASM273470v1_genomic	1
GCF_002734725.1_ASM273472v1_genomic	1
GCF_002734945.1_ASM273494v1_genomic	1
GCF_002923475.1_ASM292347v1_genomic	1
GCF_002735005.1_ASM273500v1_genomic	1
GCF_002735065.1_ASM273506v1_genomic	1
GCF_002735085.1_ASM273508v1_genomic	1
GCF_002735105.1_ASM273510v1_genomic	1
GCF_002735145.1_ASM273514v1_genomic	1
GCF_002735165.1_ASM273516v1_genomic	1
GCF_002735185.1_ASM273518v1_genomic	1
GCF_002764215.1_ASM276421v1_genomic	1
GCF_002764255.1_ASM276425v1_genomic	1
GCF_002764275.1_ASM276427v1_genomic	1
GCF_002764335.1_ASM276433v1_genomic	1
GCF_008634345.1_ASM863434v1_genomic	1
GCF_008634365.1_ASM863436v1_genomic	1
GCF_008634125.1_ASM863412v1_genomic	1
GCF_008634385.1_ASM863438v1_genomic	1
GCF_008634405.1_ASM863440v1_genomic	1
GCF_008634425.1_ASM863442v1_genomic	1
GCF_008634445.1_ASM863444v1_genomic	1
GCF_008635785.1_ASM863578v1_genomic	1
GCF_001440045.1_ASM144004v1_genomic	1
GCF_002765275.1_ASM276527v1_genomic	1
GCF_002923655.1_ASM292365v1_genomic	1
GCF_002766655.1_ASM276665v1_genomic	1
GCF_002769315.1_ASM276931v1_genomic	1
GCF_002769335.1_ASM276933v1_genomic	1
GCF_002765355.1_ASM276535v1_genomic	1
GCF_002765375.1_ASM276537v1_genomic	1
GCF_002924105.1_ASM292410v1_genomic	1
GCF_002764555.1_ASM276455v1_genomic	1
GCF_002923945.1_ASM292394v1_genomic	1
GCF_002769435.1_ASM276943v1_genomic	1
GCF_002765555.1_ASM276555v1_genomic	1
GCF_002923695.1_ASM292369v1_genomic	1
GCF_002767015.1_ASM276701v1_genomic	1
GCF_002769635.1_ASM276963v1_genomic	1
GCF_002765675.1_ASM276567v1_genomic	1
GCF_002767035.1_ASM276703v1_genomic	1
GCF_002767155.1_ASM276715v1_genomic	1
GCF_002767675.1_ASM276767v1_genomic	1
GCF_002769795.1_ASM276979v1_genomic	1
GCF_002764695.1_ASM276469v1_genomic	1
GCF_002768015.1_ASM276801v1_genomic	1
GCF_002769815.1_ASM276981v1_genomic	1
GCF_002768135.1_ASM276813v1_genomic	1
GCF_002768165.1_ASM276816v1_genomic	1
GCF_002769895.1_ASM276989v1_genomic	1
GCF_002769915.1_ASM276991v1_genomic	1
GCF_002766035.1_ASM276603v1_genomic	1
GCF_002768195.1_ASM276819v1_genomic	1
GCF_002769935.1_ASM276993v1_genomic	1
GCF_002766175.1_ASM276617v1_genomic	1
GCF_002924005.1_ASM292400v1_genomic	1
GCF_002770035.1_ASM277003v1_genomic	1
GCF_002766355.1_ASM276635v1_genomic	1
GCF_002766375.1_ASM276637v1_genomic	1
GCF_002924025.1_ASM292402v1_genomic	1
GCF_002768285.1_ASM276828v1_genomic	1
GCF_002770075.1_ASM277007v1_genomic	1
GCF_002768835.1_ASM276883v1_genomic	1
GCF_002768855.1_ASM276885v1_genomic	1
GCF_002768875.1_ASM276887v1_genomic	1
GCF_002769015.1_ASM276901v1_genomic	1
GCF_002769035.1_ASM276903v1_genomic	1
